2019-02-07 09:43:48,166 | APISample | INFO | Checking status of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:48,166 | APISample | INFO | Checking status of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:48,166 | APISample | INFO | Checking status of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:49,529 | APISample | INFO | Downloading JSON of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:49,529 | APISample | INFO | Downloading JSON of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:49,529 | APISample | INFO | Downloading JSON of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:49,529 | APISample | INFO | Downloading JSON of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:49,529 | APISample | INFO | Downloading JSON of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:50,698 | APISample | INFO | Downloading PDF of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:50,698 | APISample | INFO | Downloading PDF of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:50,698 | APISample | INFO | Downloading PDF of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:50,698 | APISample | INFO | Downloading PDF of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
2019-02-07 09:43:50,698 | APISample | INFO | Downloading PDF of analyzerId: b2bbd650-2ae6-11e9-890a-0d06297cd26b
